#  RA(J2000)     Dec(J2000)       AORKEY      Observation_start_time   ProgramID  
  12h10m32.70s   +39d24m20.7s	   41200640    2011-01-20              61068  
  12h10m32.70s   +39d24m20.7s	   41214976    2011-02-20              61068  
  12h10m32.58s   +39d24m20.6s	   42253312    2012-08-11              80025  
  12h10m32.58s   +39d24m20.6s	   42253568    2012-08-13              80025  
  12h19m22.70s   +5d49m35.0s	   4461056     2004-05-27       	  69  
  12h21m43.87s   +75d19m21.3s	   18598144    2007-02-19              30603  
  12h23m38.70s   +6d57m14.1s	   30850560    2011-03-13              61062  
  12h23m48.50s   +7d11m12.9s	   30902528    2010-07-31              61062  
  12h25m43.11s   +12d43m06.6s	   14988288    2006-07-06              20695  
  12h25m46.75s   +12d39m43.5s	   27090688    2008-07-15              50763  
  12h26m38.70s   +13d13m55.4s	   35324160    2010-03-10              60173  
  12h25m46.80s   +12d39m43.1s	   41207552    2011-03-16              61068  
  12h25m46.80s   +12d39m43.1s	   41210624    2011-07-21              61068  
  12h29m00.03s   +13d58m42.8s	   11378944    2005-01-22       	3649  
  12h29m48.87s   +13d25m45.7s	   11377920    2005-01-22       	3649  
  12h30m49.42s   +12d23m28.0s	   10483200    2005-06-11       	3228  
  12h36m26.99s   +11d26m21.5s	   14572032    2006-02-09              20371  
  12h39m55.94s   +10d10m33.9s	   11519232    2005-06-10       	3674  
  12h48m35.91s   -5d48m03.1s	   10896896    2005-07-16       	3403  
  12h59m48.70s   +27d58m50.0s	   3859456     2003-12-18       	  25  
  12h59m48.70s   +27d58m50.0s	   3859968     2004-07-04       	  25  
  13h04m44.06s   -49d33m59.8s	   14467840    2005-07-22              20256  
  13h04m44.06s   -49d33m59.8s	   14468608    2006-02-12              20256  
  13h04m44.06s   -49d33m59.8s	   17967104    2006-08-08              30292  
  13h04m44.06s   -49d33m59.8s	   17967360    2007-02-20              30292  
  13h05m27.48s   -49d28m05.6s	   21999616    2007-08-07              40410  
  13h05m11.09s   -49d31m27.1s	   45255936    2012-03-26              80239  
  13h19m31.65s   -12d39m25.9s	   4478976     2004-01-18       	  69  
  13h25m43.00s   -42d57m40.0s	   26922240    2008-08-23              50795  
  13h25m10.53s   -42d58m34.7s	   31528704    2011-04-24              61002  
  13h25m10.53s   -42d58m34.7s	   31529216    2011-04-12              61002  

  13h25m10.53s   -42d58m34.7s	   31529216    2011-04-12  	       61002 
  13h25m10.53s   -42d58m34.7s	   31529728    2011-04-05  	       61002 
  13h25m10.53s   -42d58m34.7s	   31530240    2011-03-26  	       61002 
  13h25m10.53s   -42d58m34.7s	   31530752    2010-04-16  	       61002 
  13h25m10.53s   -42d58m34.7s	   31531520    2010-04-04  	       61002 
  13h25m10.53s   -42d58m34.7s	   31532288    2010-03-25  	       61002 
  13h25m10.53s   -42d58m34.7s	   31533056    2010-03-17  	       61002 
  13h27m21.23s   -42d40m37.7s	   34870016    2009-08-31  	       60132 
