# galaxy re_maj_gaussian_comb mue_maj_gaussian_comb n_maj_gaussian_comb msph_maj_gaussian_comb mtot_maj_gaussian_comb re_maj_gaussian_log mue_maj_gaussian_log n_maj_gaussian_log msph_maj_gaussian_log mtot_maj_gaussian_log re_maj_moffat_comb mue_maj_moffat_comb n_maj_moffat_comb msph_maj_moffat_comb mtot_maj_moffat_comb re_maj_moffat_log mue_maj_moffat_log n_maj_moffat_log msph_maj_moffat_log mtot_maj_moffat_log re_eq_gaussian_comb mue_eq_gaussian_comb n_eq_gaussian_comb msph_eq_gaussian_comb mtot_eq_gaussian_comb re_eq_gaussian_log mue_eq_gaussian_log n_eq_gaussian_log msph_eq_gaussian_log mtot_eq_gaussian_log re_eq_moffat_comb mue_eq_moffat_comb n_eq_moffat_comb msph_eq_moffat_comb mtot_eq_moffat_comb re_eq_moffat_log mue_eq_moffat_log n_eq_moffat_log msph_eq_moffat_log mtot_eq_moffat_log
n3842exp 103.3245 21.4855 8.3383 7.6372 7.59832408783 93.1215 21.2882 7.8795 7.6958 7.65505866175 100.681 21.4318 8.117 7.6541 7.61473991688 101.6029 21.468 8.1019 7.6715 7.62900002715 78.9232 21.2155 8.8523 7.9202 7.88038478338 71.7219 21.0234 7.9954 7.9903 7.94703308883 73.6398 21.0696 8.2091 7.9651 7.92383264694 78.6971 21.218 8.1449 7.9735 7.92642617669 
n3998 5.573 14.8567 1.1297 8.3756 6.9456223999 5.8839 15.9331 2.7503 8.891 6.90743258122 5.8081 15.149 1.1941 8.5518 6.94998711543 6.6764 16.5207 2.771 9.2004 6.97656017098 5.3719 14.7536 1.2806 8.2922 7.15079004618 6.8162 16.1058 2.0756 8.8881 7.14980582338 4.846 14.6271 1.3405 8.3673 7.15368204643 6.3574 16.0151 2.2499 8.9078 7.18066399076 
n4026 3.5138 15.6238 2.4472 9.7611 6.32651182413 2.6532 15.8211 6.3776 10.0676 6.33105280261 3.4318 15.5155 2.3885 9.7165 6.3273242275 2.6251 15.6267 4.6867 10.0593 6.33678206303 6.4711 16.1518 2.1843 9.0211 7.44164110807 9.313 17.6876 4.9924 9.3372 7.43462733343 6.3451 16.0923 2.1229 9.0188 7.44490714466 7.8056 17.2143 4.3024 9.3257 7.45515040883 
n4151 7.6357 15.5015 1.3367 8.2558 -99.9999 7.0592 15.3002 1.705 8.1052 -99.9999 7.5983 15.4987 1.3532 8.2577 -99.9999 7.0171 15.3037 1.7475 8.1094 -99.9999 6.8256 15.262 1.7987 8.1135 -99.9999 6.867 15.2687 2.5 7.9401 -99.9999 6.7788 15.2579 1.8719 8.1043 7.060495 6.8901 15.2921 2.7669 7.9041 -99.9999 
n4261 52.5953 18.5797 4.7452 6.4968 6.44232612013 52.324 18.5723 4.9336 6.4802 6.43418209658 52.6275 18.581 4.6869 6.5033 6.44779550961 52.4117 18.5748 4.7352 6.5006 6.45098622212 47.197 18.5242 4.3991 6.7163 6.67718968596 46.4783 18.4936 4.4902 6.7083 6.67820440149 47.2938 18.5288 4.3472 6.7227 6.68257450282 46.6548 18.5006 4.3022 6.7296 6.695818234 
n4291 14.8182 17.1225 4.3028 7.8418 7.84180150185 15.6345 17.2412 4.1147 7.8675 7.86753651328 14.9523 17.1447 4.2439 7.8517 7.85172108692 16.0492 17.3024 3.9472 7.8936 7.89364757693 15.2193 17.4859 5.9353 7.9775 7.97746299964 16.1352 17.6131 5.4736 8.0207 8.02067475517 15.3559 17.5077 5.8621 7.9865 7.9864854364 16.8395 17.7099 5.0262 8.0697 8.0697171116 
n4342 1.1318 12.8973 0.0102 10.6329 8.16293440249 1.4852 14.0374 9.9925 9.3045 8.09592967058 1.8696 13.8543 2.2639 9.4015 8.14553960103 0.854 12.9265 1.316 10.4453 8.23069061185 0.9452 13.6717 1.6743 10.852 8.86129051399 0.0106 8.1444 0.9348 15.3499 8.97248113099 0.9337 13.3396 2.0786 10.438 8.8482045167 0.0134 10.4861 1.4036 16.9929 9.00275679896 
n4388 4.1448 15.602 0.7591 9.9464 6.1535413348 3.6482 15.3778 1.1029 9.8281 6.15005839765 4.5675 15.8946 0.6296 10.109 6.15444002816 4.7007 16.0609 0.6046 10.2299 6.16673739903 3.495 15.364 1.4792 9.7659 7.64769022127 5.9405 16.4231 1.9287 9.5411 7.3562573271 4.2295 15.8559 1.338 9.8925 7.65532839214 4.0359 16.1996 0.3218 10.9336 7.61345268201 
n4459 19.3611 16.7767 3.3763 7.0421 6.66823646562 14.0235 16.2417 2.3694 7.3902 6.7203375424 18.3861 16.6869 3.147 7.1011 6.6813863638 18.82 16.7376 2.7913 7.1632 6.71968949706 12.504 16.1583 2.5771 7.5127 6.96472505614 13.8819 16.351 2.4579 7.5027 6.98761765281 12.9815 16.2303 2.6051 7.4979 6.96597793449 11.2328 16.0305 1.9256 7.766 7.01417054976 
n4473 45.7195 17.9164 2.309 6.5118 6.2870718674 44.3986 17.8529 2.4894 6.4735 6.29108521199 45.9003 17.9256 2.2839 6.518 6.29008404766 44.9738 17.88 2.3802 6.4956 6.30350332688 36.7119 18.0885 2.9697 7.0311 6.81095077557 35.4899 18.0182 3.5551 6.9409 6.80256216652 36.9082 18.1001 2.8978 7.0438 6.81686739208 36.0297 18.0494 3.2857 6.9803 6.82715242318 
